"School","Conference","Division"
"East Stroudsburg University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"East Tennessee State University","Southern Conference","I-FCS"
"East Texas Baptist University","American Southwest Conference","III"
"Eastern Connecticut State University","Little East Conference","III"
"Eastern Illinois University","Ohio Valley Conference","I-FCS"
"Eastern Kentucky University","Ohio Valley Conference","I-FCS"
"Eastern Mennonite University","Old Dominion Athletic Conf.","III"
"Eastern Michigan University","Mid-American Conference","I-FBS"
"Eastern Nazarene College","Commonwealth Coast Conference","III"
"Eastern New Mexico University","Lone Star Conference","II"
"Eastern University","Middle Atlantic Conferences","III"
"Eastern Washington University","Big Sky Conference","I-FCS"
"Eckerd College","Sunshine State Conference","II"
"Edgewood College","Northern Athletics Collegiate Conference","III"
"Edinboro University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"Elizabeth City State University","Central Intercollegiate Athletic Association","II"
"Elizabethtown College","Landmark Conference","III"
"Elmhurst College","College Conference of Illinois & Wisconsin","III"
"Elmira College","Empire 8","III"
"Elms College","New England Collegiate Conference","III"
"Elon University","Colonial Athletic Association","I-FCS"
"Embry-Riddle Aeronautical University (Florida)","Sunshine State Conference","II"
"Emerson College","New England Women's and Men's Athletic Conference","III"
"Emmanuel College (Georgia)","Conference Carolinas","II"
"Emmanuel College (Massachusetts)","Great Northeast Athletic Conference","III"
"Emory and Henry College","Old Dominion Athletic Conf.","III"
"Emory University","University Athletic Association","III"
"Emporia State University","Mid-America Intercollegiate Athletics Association","II"
"Endicott College","Commonwealth Coast Conference","III"
"Erskine College","Conference Carolinas","II"
"Eureka College","St. Louis Intercollegiate Athletic Conference","III"
"Fairfield University","Metro Atlantic Athletic Conference","I"
"Fairleigh Dickinson University, Florham","Middle Atlantic Conferences","III"
"Fairleigh Dickinson University, Metropolitan Campus","Northeast Conference","I"
"Fairmont State University","Mountain East Conference","II"
"Farmingdale State College","Skyline Conference","III"
"Fayetteville State University","Central Intercollegiate Athletic Association","II"
"Felician University","Central Atlantic Collegiate Conference","II"
"Ferris State University","Great Lakes Intercollegiate Athletic Conference","II"
"Ferrum College","USA South Athletic Conference","III"
"Finlandia University","Independent","III"
"Fitchburg State University","Massachusetts State Collegiate Athletic Conference","III"
"Flagler College","Peach Belt Conference","II"
"Florida A&M University","Mid-Eastern Athletic Conf.","I-FCS"
"Florida Atlantic University","Conference USA","I-FBS"
"Florida Gulf Coast University","ASUN Conference","I"
"Florida Institute of Technology","Sunshine State Conference","II"
"Florida International University","Conference USA","I-FBS"
"Florida Southern College","Sunshine State Conference","II"
"Florida State University","Atlantic Coast Conference","I-FBS"
"Fontbonne University","St. Louis Intercollegiate Athletic Conference","III"
"Fordham University","Atlantic 10 Conference","I-FCS"
"Fort Hays State University","Mid-America Intercollegiate Athletics Association","II"
"Fort Lewis College","Rocky Mountain Athletic Conference","II"
"Fort Valley State University","Southern Intercol. Ath. Conf.","II"
"Framingham State University","Massachusetts State Collegiate Athletic Conference","III"
"Francis Marion University","Peach Belt Conference","II"
"Franciscan University of Steubenville","Allegheny Mountain Collegiate Conference","III"
"Franklin & Marshall College","Centennial Conference","III"
"Franklin College","Heartland Collegiate Athletic Conference","III"
"Franklin Pierce University","Northeast-10 Conference","II"
"Fresno Pacific University","Pacific West Conference","II"
"Frostburg State University","Capital Athletic Conference Inc.","III"
"Furman University","Southern Conference","I-FCS"
"Gallaudet University","North Eastern Athletic Conference","III"
"Gannon University","Pennsylvania State Athletic Conference","II"
"Gardner-Webb University","Big South Conference","I-FCS"
"Geneva College","Presidents' Athletic Conference","III"
"George Fox University","Northwest Conference","III"
"George Mason University","Atlantic 10 Conference","I"
"George Washington University","Atlantic 10 Conference","I"
"Georgetown University","Big East Conference","I-FCS"
"Georgia College","Peach Belt Conference","II"
"Georgia Institute of Technology","Atlantic Coast Conference","I-FBS"
"Georgia Southern University","Sun Belt Conference","I-FBS"
"Georgia Southwestern State University","Peach Belt Conference","II"
"Georgia State University","Sun Belt Conference","I-FBS"
"Georgian Court University","Central Atlantic Collegiate Conference","II"
"Gettysburg College","Centennial Conference","III"
"Glenville State College","Mountain East Conference","II"
"Goldey-Beacom College","Central Atlantic Collegiate Conference","II"
"Gonzaga University","West Coast Conference","I"
"Gordon College","Commonwealth Coast Conference","III"
